State,Latitude,Longitude,2013,2013_percent,2012,2012_percent,2011,2011_percent,2010,2010_percent,2009,2009_percent,2008,2008_percent,2007,2007_percent,2006,2006_percent,2005,2005_percent,2004,2004_percent,2003,2003_percent,2002,2002_percent
North Dakota,47.528912,-99.784012,71,9.9,79,11.4,67,9.9,77,12.6,69,10.9,74,11.8,57,9.3,70,11.4,70,11.2,61,9.7,61,9.7,73,11.6
Ohio,40.388783,-82.764915,1571,13.7,1751,15.4,1708,15.1,1739,15.4,1526,13.3,1557,13.7,1446,12.8,1371,12.1,1392,12.3,1304,11.6,1226,10.9,1099,9.8
Oklahoma,35.565342,-96.928917,518,14.0,668,18.0,522,13.9,597,16.3,468,12.9,484,13.6,476,13.4,531,15.2,543,15.6,373,10.8,440,12.8,489,14.1
Oregon,44.572021,-122.070938,593,15.1,523,13.5,553,14.4,535,14.3,510,13.4,403,10.6,481,12.8,439,11.8,436,12.0,421,11.8,446,12.5,380,10.9
Pennsylvania,40.590752,-77.209755,1576,12.4,1756,13.9,1604,12.6,1521,12.2,1376,11.1,1335,11.0,1273,10.4,1397,11.3,1372,11.2,1383,11.4,1279,10.5,1152,9.5
Rhode Island,41.680893,-71.51178,142,13.5,141,13.6,139,13.4,142,14.0,134,13.0,132,12.7,99,9.5,110,10.5,127,12.1,122,11.5,121,11.5,116,11.0
South Carolina,33.856892,-80.945007,745,15.9,779,16.7,874,19.0,767,16.9,618,13.7,624,14.0,617,14.1,474,11.2,626,15.0,615,14.9,516,12.7,568,14.3
South Dakota,44.299782,-99.438828,85,10.3,106,12.8,117,14.5,106,13.6,113,14.1,104,13.1,74,9.4,82,10.7,90,11.8,102,13.5,95,12.7,85,11.5
Tennessee,35.747845,-86.692345,1170,18.1,1194,18.6,1030,16.3,1050,16.7,1031,16.5,924,15.0,906,14.8,879,14.9,872,14.9,932,15.9,829,14.0,839,14.8
Texas,31.054487,-97.563461,4425,16.8,4444,17.0,4458,17.4,4635,18.4,4262,17.3,3834,15.9,3903,16.5,3816,16.4,3681,16.2,3669,16.5,3705,17.0,3362,15.6
Utah,40.150032,-111.862434,239,8.3,312,11.0,309,11.0,283,10.0,270,9.7,209,7.6,255,9.6,235,9.3,232,9.2,241,10.1,213,9.1,228,9.9
Vermont,44.045876,-72.710686,54,8.7,69,11.2,71,11.6,67,10.8,58,9.4,55,9.0,61,9.9,48,7.8,47,7.6,48,7.8,52,8.5,61,9.9
Virginia,37.769337,-78.169968,854,10.4,850,10.6,907,11.4,832,10.7,831,10.7,799,10.3,664,8.6,651,8.6,684,9.2,693,9.4,740,10.0,702,9.9
Washington,47.400902,-121.490494,819,12.0,796,11.6,854,12.5,774,11.6,781,11.7,680,10.4,661,10.2,502,8.0,636,10.2,700,11.4,766,12.6,657,11.0
West Virginia,38.491226,-80.954453,315,17.3,301,16.7,318,17.5,304,16.8,285,15.8,260,14.5,265,14.8,277,15.3,276,15.4,254,14.2,310,17.4,293,16.8
Wisconsin,44.268543,-89.616508,618,11.0,640,11.4,743,13.1,553,10.1,599,10.8,544,9.8,601,11.0,555,10.1,553,10.2,676,12.4,528,9.8,467,8.6
Wyoming,42.755966,-107.30249,68,11.8,56,9.6,60,10.7,51,9.6,50,9.2,54,10.1,56,10.9,51,10.0,54,10.6,50,10.0,48,9.8,44,9.0
