state	percent	
Alabama	0.145	
Alaska	0.076	
Arizona	0.143	
Arkansas	0.138	
California	0.127	
Colorado	0.098	
Connecticut	0.089	
Delaware	0.093	
D.C.	0.18	
Florida	0.125	
Georgia	0.136	
Hawaii	0.075	
Idaho	0.099	
Illinois	0.1	
Indiana	0.118	
Iowa	0.089	
Kansas	0.117	
Kentucky	0.155	
Louisiana	0.161	
Maine	0.109	
Maryland	0.088	
Massachusetts	0.112	
Michigan	0.108	
Minnesota	0.093	
Mississippi	0.226	
Missouri	0.128	
Montana	0.13	
Nebraska	0.099	
Nevada	0.097	
New Hampshire	0.058	
New Jersey	0.087	
New Mexico	0.14	
New York	0.145	
North Carolina	0.155	
North Dakota	0.093	
Ohio	0.128	
Oklahoma	0.134	
Oregon	0.128	
Pennsylvania	0.104	
Rhode Island	0.095	
South Carolina	0.141	
South Dakota	0.094	
Tennessee	0.148	
Texas	0.165	
Utah	0.096	
Vermont	0.099	
Virginia	0.086	
Washington	0.102	
West Virginia	0.148	
Wisconsin	0.11	
Wyoming	0.109
